食物 饱食度 营养 美味度
苹果 70 85 80
香蕉 80 80 75
草莓 60 80 90
西瓜 85 75 85
橙子 70 85 85
葡萄 65 80 85
樱桃 60 80 90
芒果 75 85 90
火龙果 70 80 80
柠檬 50 80 65
菠萝 80 80 85
柚子 75 85 80
椰子 80 75 75
杨梅 60 80 85
榴莲 90 80 75
荔枝 65 80 90
木瓜 70 85 75
百香果 60 80 85
枇杷 65 80 80
无花果 70 80 75
桃子 70 80 85
梨 75 80 80
椰枣 75 75 80
牛油果 85 85 70
哈密瓜 80 75 85
橄榄 65 85 70
黑莓 60 85 85
蓝莓 60 90 85
栗子 80 75 75
山竹 70 80 85
榛子 80 80 75
金橘 65 85 80
腰果 75 75 75
菠萝蜜 80 75 80
石榴 65 85 80
油桃 70 80 85
槟榔 60 65 65
桑葚 60 85 85
枣子 70 80 80
龙眼 65 80 85
柿子 75 75 80
甜瓜 75 75 85
葡萄柚 70 85 80
杨桃 65 80 85
西梅 65 85 85
